COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
ISO SINU,MIR_GRP,CFK06,109,4,0,0
LOB SPE.,MIR_GRP,CFK06,109,4,0,0
MAC CALC,MIR_GRP,CFK06,109,4,0,0
MAC FLES,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
MAD DECA,MIR_GRP,CFK06,109,4,0,0
MAG SPE.,MIR_GRP,CFK06,109,4,0,0
MEA MEAN,MIR_GRP,CFK06,109,4,0,0
MIL SPE.,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
MON CAVE,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
ORB ANNU,MIR_GRP,CFK06,109,4,0,0
ORB FAVE,MIR_GRP,CFK06,109,4,0,0
ORB FRAN,MIR_GRP,CFK06,109,4,0,0
OTH SPE.,MIR_GRP,CFK06,109,4,0,0
PAL SPE.,MIR_GRP,CFK06,109,4,0.01,0.05638172649510484
PEY SPE.,MIR_GRP,CFK06,109,4,0,0
POR ASTR,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
POR PORI,MIR_GRP,CFK06,109,4,0.01,0.05638172649510484
POR SPE.,MIR_GRP,CFK06,109,4,0,0
PSE CLIV,MIR_GRP,CFK06,109,4,0,0
PSE STRI,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
RAM SPE.,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
RHO CRUS,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
SID RADI,MIR_GRP,CFK06,109,4,0,0
SID SIDE,MIR_GRP,CFK06,109,4,0.01,0.05638172649510484
SOL BOUR,MIR_GRP,CFK06,109,4,0,0
SOL SPE.,MIR_GRP,CFK06,109,4,0,0
SPO OTHE,MIR_GRP,CFK06,109,4,0.01,0.05638172649510484
STE INTE,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
TUR FREE,MIR_GRP,CFK06,109,4,0.4575,0.28230345521386746
TUR SEDI,MIR_GRP,CFK06,109,4,0.175,0.2153112745634293
ACR CERV,MIR_GRP,CFK07,339,32,0.007500000000000001,0.014746344689495048
ACR PALM,MIR_GRP,CFK07,339,32,9.375e-4,0.0052308282300179395
AGA AGAR,MIR_GRP,CFK07,339,32,0.015625,0.021197214397047665
AGA HUMI,MIR_GRP,CFK07,339,32,0,0
AGA LAMA,MIR_GRP,CFK07,339,32,0,0
AGA SPE.,MIR_GRP,CFK07,339,32,0,0
BAR SUB.,MIR_GRP,CFK07,339,32,0.051250000000000004,0.037688714187855826
CLI SPE.,MIR_GRP,CFK07,339,32,0.00125,0.006039095457611297
COL NATA,MIR_GRP,CFK07,339,32,0,0
CYA SPE.,MIR_GRP,CFK07,339,32,0,0
DIC SPE.,MIR_GRP,CFK07,339,32,0.2571875,0.07470557655828525
DIC STOK,MIR_GRP,CFK07,339,32,6.25e-4,0.004271621275682819
DIP LABY,MIR_GRP,CFK07,339,32,0.00125,0.006039095457611297
EUS FAST,MIR_GRP,CFK07,339,32,0,0
GOR ENCR,MIR_GRP,CFK07,339,32,0.009687500000000002,0.016740964671664107
GOR GORG,MIR_GRP,CFK07,339,32,0.02687500000000001,0.0276405730793109
HAL SPE.,MIR_GRP,CFK07,339,32,0.025625000000000002,0.02700744466944314
HEL CUCU,MIR_GRP,CFK07,339,32,0,0
ISO SINU,MIR_GRP,CFK07,339,32,0,0
LOB SPE.,MIR_GRP,CFK07,339,32,3.125e-4,0.003020964580871797
MAC CALC,MIR_GRP,CFK07,339,32,0,0
MAC FLES,MIR_GRP,CFK07,339,32,0.0028125000000000003,0.009051554490451889
MAD DECA,MIR_GRP,CFK07,339,32,0,0
MAG SPE.,MIR_GRP,CFK07,339,32,0,0
