analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
NCRMP_GRP,CFK06,ORB FRAN,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ORB FRAN,10,0.00000,15960,0.00000
MIR_GRP,CFK01,OTH SPE.,8,0.05500,101,0.08269
MIR_GRP,CFK02,OTH SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,OTH SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,OTH SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,OTH SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,OTH SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,OTH SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,OTH SPE.,20,0.00100,30239,0.00725
NCRMP_GRP,CFK03,OTH SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,OTH SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,OTH SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,OTH SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,PAL SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,PAL SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,PAL SPE.,7,0.01286,78,0.04388
MIR_GRP,CFK05,PAL SPE.,23,0.09522,202,0.05891
MIR_GRP,CFK06,PAL SPE.,4,0.01000,109,0.05638
MIR_GRP,CFK07,PAL SPE.,32,0.03344,339,0.03073
NCRMP_GRP,CFK01,PAL SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,PAL SPE.,20,0.00750,30239,0.01979
NCRMP_GRP,CFK03,PAL SPE.,9,0.01667,15652,0.04525
NCRMP_GRP,CFK05,PAL SPE.,7,0.04714,2596,0.08641
NCRMP_GRP,CFK06,PAL SPE.,9,0.00111,36727,0.01178
