YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2024,GOR GORG,MIR_GRP,CFK03,78,8,0.05375,0.08075
2024,HAL SPE.,MIR_GRP,CFK03,78,8,0.03125,0.0623
2024,HEL CUCU,MIR_GRP,CFK03,78,8,0,0
2024,ISO SINU,MIR_GRP,CFK03,78,8,0,0
2024,LOB SPE.,MIR_GRP,CFK03,78,8,0,0
2024,MAC CALC,MIR_GRP,CFK03,78,8,0.0075,0.03089
2024,MAC FLES,MIR_GRP,CFK03,78,8,0.04875,0.07711
2024,MAD DECA,MIR_GRP,CFK03,78,8,0,0
2024,MAG SPE.,MIR_GRP,CFK03,78,8,0,0
2024,MAN AREO,MIR_GRP,CFK03,78,8,0,0
2024,MEA MEAN,MIR_GRP,CFK03,78,8,0,0
2024,MIL SPE.,MIR_GRP,CFK03,78,8,0.0075,0.03089
2024,MON CAVE,MIR_GRP,CFK03,78,8,0,0
2024,MYC ALIC,MIR_GRP,CFK03,78,8,0,0
2024,ORB ANCX,MIR_GRP,CFK03,78,8,0,0
2024,ORB ANNU,MIR_GRP,CFK03,78,8,0,0
2024,ORB FAVE,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,ORB FRAN,MIR_GRP,CFK03,78,8,0,0
2024,OTH CORA,MIR_GRP,CFK03,78,8,0,0
2024,OTH SPE.,MIR_GRP,CFK03,78,8,0,0
2024,PAL SPE.,MIR_GRP,CFK03,78,8,0.025,0.0559
2024,PEY SPE.,MIR_GRP,CFK03,78,8,0.01,0.03563
2024,POR ASTR,MIR_GRP,CFK03,78,8,0.0225,0.0531
2024,POR DIVA,MIR_GRP,CFK03,78,8,0,0
2024,POR PORI,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,POR SPE.,MIR_GRP,CFK03,78,8,0,0
2024,PSE CLIV,MIR_GRP,CFK03,78,8,0,0
2024,PSE STRI,MIR_GRP,CFK03,78,8,0,0
2024,RAM SPE.,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,RHO CRUS,MIR_GRP,CFK03,78,8,0.0625,0.08667
2024,SID RADI,MIR_GRP,CFK03,78,8,0.00125,0.01265
2024,SID SIDE,MIR_GRP,CFK03,78,8,0.01125,0.03776
2024,SOL BOUR,MIR_GRP,CFK03,78,8,0,0
2024,SOL SPE.,MIR_GRP,CFK03,78,8,0,0
2024,SPO OTHE,MIR_GRP,CFK03,78,8,0.03125,0.0623
2024,STE INTE,MIR_GRP,CFK03,78,8,0,0
2024,TUR FREE,MIR_GRP,CFK03,78,8,0.23,0.15068
2024,TUR SEDI,MIR_GRP,CFK03,78,8,0.25875,0.15681
2024,ACR CERV,MIR_GRP,CFK04,77,3,0,0
2024,ACR PALM,MIR_GRP,CFK04,77,3,0,0
2024,AGA AGAR,MIR_GRP,CFK04,77,3,0,0
2024,AGA HUMI,MIR_GRP,CFK04,77,3,0,0
2024,AGA LAMA,MIR_GRP,CFK04,77,3,0,0
2024,AGA SPE.,MIR_GRP,CFK04,77,3,0,0
2024,BAR SUB.,MIR_GRP,CFK04,77,3,0.06,0.16462
2024,CLI SPE.,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,COL NATA,MIR_GRP,CFK04,77,3,0,0
2024,CYA SPE.,MIR_GRP,CFK04,77,3,0,0
2024,DIC SPE.,MIR_GRP,CFK04,77,3,0.21667,0.28558
2024,DIC STOK,MIR_GRP,CFK04,77,3,0,0
2024,DIP LABY,MIR_GRP,CFK04,77,3,0,0
2024,DIP SPE.,MIR_GRP,CFK04,77,3,0,0
2024,EUS FAST,MIR_GRP,CFK04,77,3,0,0
2024,GOR ENCR,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,GOR GORG,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,HAL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,HEL CUCU,MIR_GRP,CFK04,77,3,0,0
2024,ISO SINU,MIR_GRP,CFK04,77,3,0,0
2024,LOB SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MAC CALC,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,MAC FLES,MIR_GRP,CFK04,77,3,0.06333,0.16884
2024,MAD DECA,MIR_GRP,CFK04,77,3,0,0
2024,MAG SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MAN AREO,MIR_GRP,CFK04,77,3,0,0
2024,MEA MEAN,MIR_GRP,CFK04,77,3,0,0
2024,MIL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MON CAVE,MIR_GRP,CFK04,77,3,0,0
2024,MYC ALIC,MIR_GRP,CFK04,77,3,0,0
2024,ORB ANCX,MIR_GRP,CFK04,77,3,0,0
